texts,articles
"«Газпром» приобрел на аукционе Западно-Малыгинский участок на полуострове Ямал за 1,3 млрд руб., превысив в 2,5 раза стартовую цену. Торги вызвали интерес нескольких участников. В частности, соперниками «Газпрома» на аукционе были две структуры НОВАТЭКа, «УДС нефть» (принадлежит экс-депутату Госсовета Удмуртии Алексею Чулкину) и «Ямал Север» (входит в фонд «Энергия» Игоря Юсуфова). По словам собеседника “Ъ”, знакомого с ходом аукциона, НОВАТЭК и «Ямал Север» вышли из борьбы на ставке в районе 1 млрд руб., при этом в шаге от ставки «Газпрома» остановилась «УДС нефть».В Минприроды сказали “Ъ”, что «Газпром» не делился планами освоения участка.Западно-Малыгинский участок примыкает к Малыгинскому месторождению «Газпрома», который входит в Тамбейскую промышленную зону. Западно-Малыгинский участок относится к малоразведанным. Площадь участка — 3,8 тыс. кв. км. Ресурсы газа по категории D0 составляют 144 млрд кубометров газа и 9,7 млн тонн конденсата, по D1 — 484 млрд кубометров газа и 50 млн тонн нефти и конденсата, по D2 — 248 млрд кубометров газа и 35 млн тонн нефти и конденсата. Помимо Малыгинского участка в Тамбейскую группу входят Северо-Тамбейский, Западно-Тамбейский, Тасийский участки (на этих трех участках открыто Тамбейское месторождение), запасы оцениваются в 7,3 млрд кубометров газа. Эти участки достались «Газпрому» без торгов еще в 2008 году по распоряжению правительства как собственнику Единой системы газоснабжения.В последние годы «Газпром» на фоне роста спроса на газ как на экспорт, так и внутри страны сталкивается с необходимостью пополнения ресурсной базы на Ямале. Тамбейское месторождение и расположенные рядом с ним активы потенциально могут стать важнейшим источником газа для компании после Бованенковского месторождения. В связи с этим между «Газпромом» и НОВАТЭКом обостряется конкуренция за площади нераспределенного фонда, поскольку последний также нуждается в ресурсах для запуска новых СПГ-проектов. Так, ожесточенной борьбой сопровождался аукцион на соседний Восточно-Малыгинский участок в сентябре 2021 года. В нем помимо «Газпрома» участвовали НОВАТЭК, владеющий Северо-Тасийским участком на северо-востоке Ямала, и «Ямал Север». В результате участок достался «Газпрому», но платеж вырос с 500 млн руб. до почти 13 млрд руб.Очевидно, что «Газпром» хочет расширить уже существующую ресурсную базу Тамбейской промышленной зоны на севере полуострова Ямал, замечает глава консультационного центра «Гекон» Михаил Григорьев. Западно-Малыгинский участок пока не содержит запасов, но высокая конкуренция может объясняться солидным объемом прогнозных ресурсов газа, считает эксперт, а близость к уже изученным месторождениям обеспечивает уверенность в корректности геологической модели.",«Газпром» собирает газ севера Ямала
"Ведущий эксперт финансового университета Станислав Митрахович считает, что «Газпром» вновь пойдет навстречу Молдавии: «Кишинев считает, что вполне возможно каждый раз рассказывать, что у них не хватает денег, хотя варианты на самом деле есть — можно повышать стоимость газа для граждан, можно снижать потребление.В конце концов даже в более развитых странах Европы идет снижение промышленного потребления. Если Молдавия считает, что Россия предлагает ей невыгодные условия, зачем тогда вице-премьеру Андрею Спыну нужно было рассказывать, что страна подписала отличный договор? Пойдет ли ""Газпром"" на уступки? Я полагаю, что да. На это указывает предыдущий опыт. Нас в каком-то смысле затягивают в кабалу — мы всегда вынуждены то прощать долг, то соглашаться на перерасчет.По всей видимости, ""Газпром"" или российское руководство полагают, что если сейчас обострить ситуацию, то давление, которое есть в Европе на наш бизнес, власти, дополнительно усилится. Зарубежные СМИ в очередной раз начнут писать, что мы не просто сократили поставки в ЕС, хотя они напрямую зависят от заявок, которые поступают в ""Газпром"", но что мы еще и морозим целую страну. Вероятно, эти аргументы играют свою роль, и Молдавия пользуется ими.Если Молдавия считает, что с Россией неудобно вести бизнес, пожалуйста, есть возможность купить газ по высоким ценам в Румынии, на Украине или в Польше. Если нравится работать с ""Газпромом"", то надо выполнять условия. Мне кажется, что это очевидная вещь для любой страны и компании, которая имеет хоть какую-то субъектность.В конце концов можно вспомнить и про стратегические аспекты отношений. Давайте переведем этот разговор за пределы газа, вспомним, что делает молдавское руководство с приднестровским руководством. Если это чисто коммерция, тогда надо платить за то, что подписали. Газпром"", вероятно, и мог бы поступить жестче, банально прекратив поставлять газ, но не секрет, что компания во многом подчиняется Кремлю.Если у нас будут какие-то жесткие сценарии эскалации российско-западного политического конфликта, то поставки прервутся. Если же до этого не дойдет и само молдавское руководство не наломает дров — например, они ездили на всякие мероприятия наподобие ""Крымской платформы"" в Киев, то все останется как есть».Власти Молдавии не исключили, что с 1 февраля могут вновь увеличить тариф на газ внутри страны. Но почему Кишинев в очередной раз просит об отсрочке авансовых платежей? Причина всему — ситуация на мировом рынке, отмечает главный редактор молдавской газеты «Экономическое обозрение ""Логос-пресс""» Дмитрий Калак:«В январе страна получает газ по $630 — это почти в два раза меньше, чем на спотовом рынке, но в то же время в пять раз дороже, чем она покупала в 2021-м. Поэтому для Молдавии, конечно, это невыгодный контракт с той точки зрения, что газ сильно подорожал. Но учитывая реалии европейского рынка, Кишинев в более привилегированном положении, чем многие страны ЕС.Другой вопрос: могли бы мы получить более выгодные условия и цену на газ ниже, чем та, которая есть сейчас. Моя личная позиция: да, могли, и для этого необязательно выполнять какие-то политические условия. Власти Кишинева не исключают, что с 1 февраля будет повышение тарифа, что, возможно, введут режим ЧП.Чрезвычайное положение в энергетике — у нас уже такое было в ноябре — вводят, чтобы в случае необходимости можно было в срочном порядке, не соблюдая определенных процедур, принимать оперативные решения и реагировать на ситуацию.Глава «Молдовагаза» Вадим Чебан заявил, что еще одним выходом из ситуации могли бы стать международные кредиты. Это, по его словам, позволило бы промышленным потребителям газа вовремя и в полном объеме платить за топливо.",Газовые проблемы не покидают Молдавию
"«Газпром» и «Газпром экспорт» инициировали очередное обращение в Стокгольмский арбитраж для ретроспективного пересмотра ценовых условий контракта с польской PGNiG от 1996 года, сообщили российская и польская компании. Контракт действует до ноября 2022 года, объем — 9,8 млрд кубометров.Если поставщик и потребитель не могут договориться, спор решается в арбитраже. На этот раз «Газпром» требует повысить цену по контракту с 1 ноября 2020 года: «Принимая во внимание то, что коммерческие переговоры по пересмотру цены в соответствии с требованиями ""Газпром экспорта"" не привели к достижению договоренностей, российская компания в соответствии с контрактными условиями передала эти споры на разрешение арбитражного трибунала».Запросы «Газпрома» о пересмотре цены были поданы в ответ на запросы PGNiG о снижении цены контракта от 1 ноября 2017 года и 1 ноября 2020 года. При этом во время рекордно высоких цен на газ в Европе запрос PGNiG от ноября 2020 года был изменен 28 октября 2021 года, сообщила польская компания. Глава PGNiG Павел Маевский заявил, что считает нынешнее требование «Газпрома» об увеличении цены контракта «абсолютно необоснованным». «Мы хорошо подготовлены, чтобы доказать это перед арбитражным судом»,— добавил он.«Газпром» и PGNiG находятся в напряженных отношениях, регулярно инициируя судебные разбирательства касательно пересмотра цен на поставку газа. Прошлый пересмотр (за период с ноября 2014 года до ноября 2017 года) «Газпром» проиграл — Стокгольмский арбитраж постановил изменить формулу контракта с PGNiG, внеся в нее привязку к цене газа на хабах в Европе вместо существовавшей прежде привязки к корзине нефтепродуктов. Кроме того, «Газпром» был вынужден вернуть PGNiG $1,5 млрд переплаты за поставленный газ. Российская компания продолжает оспаривать это решение арбитража, вынесенное в марте 2020 года, в апелляционном суде округа Свеа (Швеция). По мнению «Газпрома», суд в данном споре вышел за рамки своих компетенций, установив новую цену в контракте с PGNiG, ни «Газпром», ни сама PGNiG об этом не просили.Впрочем, в нынешних обстоятельствах то решение арбитража скорее на руку «Газпрому» — в 2021 году спотовые цены на газ выросли в несколько раз, далеко оторвавшись от нефтяных котировок. Спотовые цены на газ в январе в Европе в среднем превышали $1 тыс. за 1 тыс. кубометров, тогда как при чистой нефтяной привязке цена составляла бы около $300 за 1 тыс. кубометров.Руководитель юридической практики CM Grace Consulting Екатерина Орлова отмечает, что решение «Газпрома» пойти в арбитраж — весьма ожидаемый шаг не столько с точки зрения «ямальского» контракта, сколько в рамках политики взаимодействия с PGNiG в целом. Она напоминает, что PGNiG пытается тормозить сертификацию «Северного потока-2», а также не собирается продлять истекающий в этом году контракт с «Газпромом». Юрист также полагает, что в рамках нового иска «Газпром» находится в более выигрышной позиции в связи с решением арбитража от марта 2020 года, привязавшего цену контракта с PGNiG к спотовым котировкам.",«Газпром» заводит PGNiG в юридические дебри
"Федеральная антимонопольная служба удовлетворила ходатайство «Газпрома» о приобретении 50% в уставном капитале ООО «Балтийский химический комплекс» (БХК), сообщила служба 10 января. Речь идет о проекте газохимического завода «Русгаздобычи» по выпуску базовых полимеров мощностью 3 млн тонн полиэтилена и полипропилена в год, который планируется построить в Усть-Луге. На данный момент 100% БХК принадлежит «Русгаздобыче», подконтрольной бывшему партнеру Аркадия Ротенберга в СМП-банке Артему Оболенскому.Первой технологической частью комплекса должен стать завод по сжижению газа и выделению этана, которым паритетно владеют «Газпром» и «Русгаздобыча» через СП «Русхимальянс». Это завод, потребляя 45 млрд кубометров жирного газа в год, должен выпускать соответственно 13 млн тонн сжиженного природного газа, 18 млрд кубометров товарного газа, до 4 млн тонн этана и 2,2 млн тонн сжиженных углеводородных газов (СУГ) в год. Этан и СУГ затем будут перерабатываться в полимеры. Запуск первой очереди интегрированного комплекса пока запланирован на конец 2024 года, второй — на 2025 год.Стороны не раскрывали деталей сделки. В «Русгаздобыче» заявили, что обсуждают с «Газпромом» приобретение им доли в БХК, добавив, что «в настоящее время идет согласование ряда деталей». В «Газпроме» отказались от комментариев.Стоимость БХК неизвестна. Глава «Русгаздобычи» Константин Махов говорил, что общая стоимость интегрированного проекта составляет около 3 трлн руб., из которых половина приходится на газопереработку, а другая — на газохимию. Основные EPC-контракты на строительство как газоперерабатывающего, так и газохимического заводов уже подписаны, однако их суммы не раскрывались. Пока что проект финансируется госбанками. Так, ВЭБ.РФ выделит на весь интегрированный проект кредиты с общим лимитом 745 млрд руб. Газпромбанк также предоставил проекту бридж-кредит на 45 млрд руб. и гарантии подрядчикам на 170 млрд руб. Константин Махов не исключал, что проект в Усть-Луге может получить финансирование из ФНБ. А финансовый директор «Газпрома» Фамил Садыгов говорил, что в 2022 году компания рассчитывает привлечь проектное финансирование для завода в Усть-Луге.Аналитики традиционно неохотно официально комментируют проект в Усть-Луге, учитывая скудность данных об его стоимости и экономической модели. По словам одного из собеседников “Ъ” в отрасли, вхождение «Газпрома» в БХК может быть вынужденной мерой, связанной с необходимостью организации проектного финансирования: банки могут быть не уверены в том, что «Русгаздобыча» способна самостоятельно справиться со столь крупным проектом. Кроме того, участие «Газпрома» в капитале наверняка позволит снизить стоимость привлечения финансирования.Для «Газпрома» это может быть первым новым собственным активом в нефтегазохимии (помимо «Газпром нефтехим Салавата», который достался компании исторически). Прежде компания имела неоднозначный опыт в этом сегменте: проект Новоуренгойского ГХК так и остался нереализован. Что касается Амурского ГХК, который должен перерабатывать этан с Амурского ГПЗ «Газпрома», то его строительством занимается СИБУР.",«Газпром» идет на полимеры
"«Газпром» практически вдвое сократил поставки газа в Европу через Украину в первые девять дней января. Так, по данным словацкого газотранспортного оператора Eustream, среднесуточный объем поставок 1–9 января упал до 54 млн кубометров, что на 55% меньше, чем в предшествующие десять дней декабря 2021 года.«Газпром» сейчас продает газ в Европу только по долгосрочным контрактам. Объем поставок по ним зависит не от «Газпрома», а от его клиентов — именно они определяют, сколько газа (в рамках контрактных ограничений) они намерены отобрать в каждые следующие сутки. «Газпром» мог бы увеличить поставки в Европу вне рамок долгосрочных контрактов (например, продавая газ на своей электронной торговой площадке), однако предпочитает не делать этого.Помимо украинского маршрута «Газпром» поставляет газ в Европу еще по трем газопроводам: «Северный поток», «Турецкий поток» и Ямал—Европа. Поставки по «Турецкому потоку», по данным болгарского газотранспортного оператора, в среднем сократились за рассматриваемый период на 37%, до 25,4 млн кубометров в сутки. Учитывая, что «Газпром» уже почти месяц вовсе не использует газопровод Ямал—Европа из-за отсутствия заявок клиентов, общий объем поставок российского газа в Европу (без учета Турции) упал в первые десять дней января до минимума по крайней мере за последние десять лет. Поставки по «Северному потоку» продолжились почти без изменений.В последние дни декабря и начале января температура воздуха в Центральной и Западной Европе поставила несколько рекордов: так, в Берлине и Париже 31 декабря днем было почти 12°С, в Вене — 16°С. Волна потепления пошла на спад только в конце прошлой недели. В результате, несмотря на снижение покупок из России, европейские потребители смогли резко сократить подъем газа из хранилищ: по данным AGSI+, с 30 декабря по 2 января запасы в европейских подземных хранилищах даже увеличивались, поскольку закачка превышала отбор. Тем не менее текущий уровень запасов уже упал ниже 54%.Хотя теплая погода и привела к коррекции цен на газ в конце декабря почти до $800 за тысячу кубометров с максимума в $2000, достигнутого 21 декабря, в новом году цены вновь начали расти. Отчасти это объясняется нормализацией погодных условий, отчасти — ростом цен на нефть. Торги февральским фьючерсом на индекс TTF на бирже ICE закрылись 7 декабря на отметке $989 за тысячу кубометров (€83,4 за 1 МВт•ч).Weather Company на данный момент ожидает, что январь и март в Европе в этом году в среднем будут немного теплее многолетней нормы, февраль — теплее для севера Европы и холоднее для юга. Если этот прогноз окажется верным, лучшей стратегией для европейских клиентов «Газпрома» может стать минимизация текущих закупок, с тем чтобы дотянуть до теплого времени года на запасах в хранилищах, закупленных по гораздо более низким ценам, чем нынешние.",«Газпрому» не везет с погодой
"«Газпром экспорт» сообщил о подписании нового контракта на поставку газа в Турцию с местной госкомпанией Botas. «""Газпром экспорт"" и его основной партнер в Турции, компания Botas, 30 декабря 2021 года подписали пакет соглашений, касающихся сотрудничества в области поставок газа и использования газотранспортной инфраструктуры»,— сообщила российская компания 6 января. Новый контракт на поставку газа, пришедший на смену старому соглашению от 1998 года объемом 4 млрд кубометров в год, заключен на четыре года с годовым объемом в 5,75 млрд кубометров. Речь идет о поставках в западную Турцию по газопроводу «Турецкий поток».Речь идет о контрактах Avrasya Gaz (0,5 млрд кубометров), Shell (0,25 млрд кубометров), Bosphorus Gaz (0,75 млрд кубометров) и Enerco (2,5 млрд кубометров), заключенных в 2009 году в ходе так называемого первого газового релиза. В рамках этой процедуры Botas передала изначально принадлежавшие ей контрактные объемы частным компаниям, поскольку в то время турецкое правительство собиралось либерализовать свой рынок газа по европейскому образцу.Реформа, однако, стала давать сбои по мере постоянного ослабления курса лиры к доллару во второй половине 2010-х: частные импортеры постоянно страдали от «ножниц» между номинированными в долларах импортными контрактами и внутренними регулируемыми тарифами на газ. Botas была менее уязвима, поскольку занимается также транспортировкой газа и имеет другие доходы для покрытия периодически возникающих убытков от реализации газа на внутреннем рынке.В итоге «Газпром» в 2014–2017 годах предоставлял частным импортерам разные скидки, что, однако, все равно не позволило большинству из них сохранить финансовую устойчивость. По оценкам «Ъ», только за 2019 год частные импортеры не заплатили «Газпрому» около $1,7 млрд по условиям take-or-pay, и российская компания до сих пор не может получить эти деньги, хотя и выиграла соответствующие международные арбитражи.В итоге было достигнуто компромиссное решение — из 4 млрд кубометров годовых объемов частных импортеров Botas взяла на себя около 2 млрд кубометров. Общий контрактный портфель «Газпрома» на турецком рынке сократился до 30 млрд кубометров.Стороны не раскрыли ценовые условия контракта. Прежний контракт был основан на нефтяной привязке: это сильно помогло Турции в 2021 году, когда спотовые цены на газ в Европе и стоимость спотовых партий СПГ на мировом рынке выросли в несколько раз.",«Газпром» перезаключил контракт на поставку газа в Турцию
"«Газпром» на дополнительной ночной сессии 28 декабря снова не стал бронировать мощности польского участка трубопровода Ямал—Европа, сообщает ТАСС со ссылкой на данные газотранспортного оператора Gascade. Компания не бронирует мощности газопровода уже восьмой день подряд.С 21 декабря газопровод Ямал—Европа работает в реверсном режиме. На фоне снижения прокачки цена на газ в Европе достигала рекордных $2150. «Газпром» на этой неделе заявил, что готов поставлять дополнительные объемы газа в Европу, а также отверг все обвинения в недостаточных поставках. Президент Владимир Путин считает, что европейцы «сами создали себе» проблемы с газом.О том, почему странам ЕС не хватает газа, читайте в материале «Ъ FM» «Европа ""перебрала"" с запасами».",«Газпром» восьмой день не бронирует мощности газопровода Ямал—Европа
"Последнюю неделю европейский спотовый рынок больше напоминал американские горки. Превысив $2 тыс. и побив абсолютный рекорд, цена 1 тыс. куб. м газа столь же быстро снизилась. Но европейских потребителей это не удовлетворило. Многие страны выработали объемы, указанные в контракте с Россией, и 21 декабря «Газпром» остановил прокачку топлива по ямальскому маршруту. Теперь хранилища в некоторых государствах и вовсе оказались практически пустыми, заявили в российской компании.Как вышло, что Европе не хватило газа до конца 2021 года? Кажется, там ошиблись в расчетах, когда в январе заключали контракт, считает ведущий эксперт Фонда национальной энергетической безопасности Игорь Юшков: «В первом полугодии европейцы очень активно отбирали газ. В итоге на декабрь они выбрали уже все объемы, которые должны были получить. Дальше ЕС может покупать газ по спотовой цене.Норвегия четвертый год подряд снижает объемы добычи газа. Собственная добыча в Европе падает. Еще и ветряная энергетика дала меньше энергии, чем в предыдущие годы. Ее нужно было заместить, поэтому много топлива отбирали именно у ""Газпрома"". Плюс пандемия, однако Евросоюз вряд ли рассчитывал на быстрое восстановление экономики».Россия настаивает: если европейские страны хотят больше газа, пусть заключают долгосрочные контракты. Тем более что цены на них существенно меньше: $250-$300 за 1 тыс. куб. м. Столько, например, сейчас платит Сербия.Однако это совсем не устраивает Еврокомиссию. Там не раз заявляли, что такими контрактами «Газпром» монополизирует рынок. Но то, что предлагает Европа, невыгодно российской компании, объясняет старший научный сотрудник Финансового университета Станислав Митрахович: «Европейская сторона требует от ""Газпрома"" увеличения продажи газа на спотовом рынке. ЕС хочет, чтобы российская компания, например, открыла свою электронную торговую площадку и привезла туда газ без контрактов.Можно пугать ""Газпром"" антимонопольным расследованием, но надо доказать, что он манипулировал рынком — это будет сложно сделать. Мог бы ""Газпром"" просто отдать больше газа? Наверное, мог бы, но тогда корпорация должна была бы ожидать и к себе другого отношения. Например, ускорение сертификации ""Северного потока-2""».В начале года в контрактах обычно пересматриваются объемы, которые «Газпром» должен поставить в страну. Так что уже совсем скоро поставки по трубопроводу Ямал—Европа могут восстановиться. Но даже если страны решатся продлить долгосрочные контракты, цена на них будет частично зависеть и от спотового рынка.Поэтому исключить физический дефицит газа этой зимой нельзя, говорит директор по энергетическому направлению Института энергетики и финансов Алексей Громов: «Все будет зависеть от двух факторов. Во-первых, погодные условия: если зима окажется очень холодной, то это создаст очень большое напряжение для европейского газового рынка. Во-вторых, ситуация в Азии: сейчас азиатский СПГ развернулся в Европу и немного успокоил рынки, но если там снова возникнет спрос, тогда Европа вернется к ситуации высокого риска дефицита газа.Россия не раз заявляла, что нормализовать ситуацию мог бы «Северный поток-2». Но в Германии, кажется, с этим не спешат: там говорят, что газопровод не получит одобрения в первой половине следующего года. Аналитики Bloomberg тем временем ожидают сохранения аномально высоких цен на топливо и в 2022-м, и в 2023-м.",Европа «перебрала» с запасами
"«Газпром» в ходе регулярной сессии суточного аукциона вновь не забронировал на понедельник, 27 декабря, мощности польского участка газопровода Ямал—Европа, сообщает «Прайм» со ссылкой на данные GSA Platform. Это продолжается уже неделю, компания не бронирует мощности участка ни на регулярной, ни на дополнительной сессии.Мощности, которые оказались невостребованными, предлагались на точке входа в польский участок магистрали. Она является для «Газпрома» одним из основных маршрутов поставок газа в Европу.21 декабря физический поток газа по газопроводу Ямал—Европа в Германию был приостановлен, участок работает в реверсивном режиме. На фоне снижения прокачки по газопроводу цена на газ в Европе впервые в истории превышала $2150.Подробнее о росте цен — в материале «Ъ» «Ямало ли что с газом случится».",«Газпром» снова не забронировал мощности газопровода Ямал—Европа
"«Газпром» не стал бронировать мощности газопровода Ямал—Европа на 22 декабря во время регулярной и дополнительной сессий. Об этом сообщает «РИА Новости» со ссылкой на данные платформы GSA Platform.«Газпром» также снижает бронирование мощности газопровода для транзита газа через Польшу: 27 млн кубометров в пятницу, 5,2 млн — в субботу, 4,2 млн — в воскресенье, 3,8 млн из доступных 89,1 млн — в понедельник. Все предыдущие дни в декабре «Газпром» бронировал по 31,4 млн кубометров.Накануне физический поток газа по трубопроводу Ямал—Европа в Германию был приостановлен из-за отказа «Газпрома» от бронирования мощностей прокачки на 21 декабря. На этом фоне цена газа в Европе достигла исторических максимумов — $2150 за 1 тыс. куб. м.Подробности — в материале «Ъ» «Ямало ли что с газом случится».",«Газпром» вновь не забронировал мощности газопровода Ямал—Европа
