Источник,Дата,Значимость,Категория,Заголовок,Новость
РБК,23.05.22,4,санкции,FT узнала об идее Британии провести ребрендинг компании Gazprom Energy,"Британская компания по розничным продажам газа Gazprom Energy рассматривает возможность ребрендинга, чтобы дистанцироваться от российских владельцев на фоне событий на Украине, сообщила Financial Times.По информации издания, один из вариантов нового названия — это GM&T (Gazprom Marketing & Trading Retail Limited, то есть название материнской компании — британского подразделения «Газпрома»).«Высшее руководство настроено очень положительно, однако, учитывая то, что речь не идет о радикальном ребрендинге, неясно, будет ли это иметь большое значение», — сказал источник FT.РБК направил запрос представителю «Газпрома».Gazprom Energy — один из ключевых участников британской энергосистемы, компания поставляет в страну пятую часть газа. В марте Gazprom Energy была на грани коллапса, поскольку многие компании отказались заключать с ней новые контракты, пишет FT. Тогда же источники Bloomberg сообщили, что правительство Великобритании готовится временно национализировать местную «дочку» «Газпрома» в случае угрозы стабильности поставок газа.Однако пока британские власти не пошли на такой шаг. При этом сценарии правительству пришлось бы взять на себя выплату обязательств компании, что обошлось бы государству в 4 млрд (около $5 млрд по текущему курсу), отметило издание.В начале апреля «Газпром» прекратил участие в немецкой дочерней компании Gazprom Germania GmbH и принадлежащих ей активах. Эта «дочка» занимается продажей и маркетингом природного газа, трейдингом, разведкой и добычей, а также проектами подземного хранения.После прекращения участия «Газпрома» Германия ввела в его бывшей «дочке» внешнее управление. Как сообщала Handelsblatt, Минэкономики Германии рассматривало вариант с национализацией. Но пока оно пытается найти альтернативу и предлагает кредиты потенциальным покупателям. В Кремле идею национализации «дочек» «Газпрома» назвали неприемлемой и заявили, что такое решение нарушило бы международное право."
РБК,24.05.22,4,совет директоров,Шрёдер отклонил предложение войти в совет директоров «Газпрома»,"Бывший канцлер Германии, председатель комитета акционеров компании Nord Stream AG Герхард Шрёдер сообщил, что отклонил предложение войти в совет директоров «Газпрома», пишет Focus.Как уточняет издание, Шрёдер заявил, что отказался войти в совет директоров давно. О выдвижении экс-канцлера «Газпром» сообщил в начале февраля.РБК направил запрос представителю «Газпрома».В число остальных кандидатов в члены совета директоров компании вошли вице-премьер Александр Новак, министр энергетики Николай Шульгинов, председатель правления «Газпрома» Алексей Миллер, глава Газпромбанка Андрей Акимов, спецпредставитель президента Виктор Зубков, министр промышленности и торговли Денис Мантуров, зампред правления «Газпрома» Виталий Маркелов и первый замгендиректора «Газпром экспорта» Михаил Середа, ректор РГУ им. Губкина Виктор Мартынов и ректор РАНХиГС Владимир Мау.Основной пул кандидатов сформировался ранее, однако 24 мая был выдвинут еще один кандидат — министр сельского хозяйства Дмитрий Патрушев. Он стал 12-м кандидатом, тогда как в совете директоров «Газпрома» — 11 мест.Собрание акционеров компании должно состояться 30 июня.20 мая «Роснефть» сообщила, что Шрёдер выйдет из состава совета директоров компании. Также орган покинет исполнительный директор Nord Stream 2 AG Маттиас Варниг. Как уточнили в «Роснефти», Шрёдер и Варниг «сообщили о невозможности продления своих полномочий».На следующий день канцлер Германии Олаф Шольц призвал Шрёдера покинуть и другие посты в России.Шрёдер занимал должность канцлера ФРГ с 1998 по 2005 год. В совет директоров «Роснефти» он входил с 2017 года."
РБК,24.05.22,4,совет директоров,Главу Минсельхоза Патрушева выдвинули в совет директоров «Газпрома»,"Министр сельского хозяйства России Дмитрий Патрушев выдвинут в совет директоров «Газпрома», говорится в заявлении компании по итогам заседания наблюдательного совета.

«Включить по усмотрению совета директоров ПАО «Газпром» в список кандидатур для голосования на годовом общем собрании акционеров ПАО «Газпром» по выборам в совет директоров ПАО «Газпром»: Патрушева Дмитрия Николаевича», — сказано в сообщении.Патрушеву 44 года, он является сыном секретаря Совета безопасности Николая Патрушева. С 2004 года работал в Банке внешней торговли (с 1 марта 2007 года — ОАО «Банк ВТБ») и в 2007 году стал его старшим вице-президентом. С 2010 года Патрушев занимал пост председателя правления Россельхозбанка, а в мае 2018-го назначен главой Минсельхоза.Ранее в число кандидатов в совет директоров «Газпрома» вошли вице-премьер Александр Новак, министр энергетики Николай Шульгинов, председатель правления «Газпрома» Алексей Миллер, глава Газпромбанка Андрей Акимов, спецпредставитель президента Виктор Зубков, министр промышленности и торговли Денис Мантуров, зампред правления «Газпрома» Виталий Маркелов и первый замгендиректора «Газпром экспорта» Михаил Середа, ректор РГУ им. Губкина Виктор Мартынов и ректор РАНХиГС Владимир Мау, а также бывший канцлер ФРГ, председатель комитета акционеров компании Nord Stream AG Герхард Шрёдер.Последний после начала российской спецоперации на Украине уже покинул совет директоров «Роснефти». 21 мая канцлер Германии Олаф Шольц призвал Шрёдера покинуть все посты в России. «Мы принимаем к сведению, что это произошло c одним [постом], должны последовать и другие», — говорил он.Сам Шрёдер заявлял, что Россию нельзя изолировать в долгосрочной перспективе и промышленность Германии нуждается в российских ресурсах. По его словам, после спецоперации на Украине Западу придется вновь взаимодействовать с Россией. «Так всегда и происходит», — резюмировал бывший канцлер."
РБК,24.05.22,3,совет директоров,Пресс-секретарь главы правления «Газпрома» возглавил совет директоров VK,"Пресс-секретарь председателя правления «Газпрома» Сергей Куприянов назначен новым председателем совета директоров VK (ранее Mail.ru Group), говорится в сообщении компании.«Председателем совета директоров компании назначен Сергей Куприянов. Он вошел в совет 14 декабря в 2021 года в качестве неисполнительного директора», — сказано в сообщении.Кроме того, на должность неисполнительного директора VK назначена вице-президент Газпромбанка Мария Зыбина.

Куприянов в ответ на запрос РБК о том, как он будет совмещать должности в «Газпроме» и на посту председателя совета директоров VK, заявил: «Как и раньше. Это не единственный совет директоров, в который я вхожу».Куприянов работает пресс-секретарем Алексея Миллера с 2003 года, с 2018 года входит в совет директоров «Газпром-Медиа Холдинга». В декабре 2021 года он вошел в совет директоров VK вместо старшего вице-президента и члена правления «Сбера» Александры Бурико. Кроме того, Куприянов возглавляет совет директоров OOO «Оператор Газпром ID».Предыдущий председатель совета директоров VK Дмитрий Гришин покинул свою должность 11 мая. О причинах ухода и дальнейших планах Гришина в VK не сообщили.Ранее США и Евросоюз ввели санкции против главы VK Владимира Кириенко после начала военной операции на Украине. В компании после этого заявили, что ограничительные меры не повлияли на ее работу."
РБК,25.05.22,4,поставки газа,Правительство временно разрешило поставки СПГ бывшей «дочке» «Газпрома»,"Правительство выпустило распоряжение, согласно которому бывшей «дочке» «Газпрома», компании Gazprom Markeing & Trading Singapore, разрешается поставка газа с «Ямал СПГ» в течение 90 дней. Ранее предприятие, как и ряд других бывших «дочек» «Газпрома», попало под ответные российские санкции.«Разрешить совершение действий, запрет которых установлен пунктом 2 указа президента РФ от 3 мая 2022 года <...> и постановлением правительства РФ <…> и которые связаны с поставками открытым акционерным обществом «Ямал СПГ» Yamal Trade Pte. Ltd. сжиженного природного газа в пользу Gazprom Marketing & Trading Singapore PTE. Ltd.», — говорится в документе.Упомянутый указ президента, подписанный им 3 мая, установил список ответных экономических мер в связи с недружественными действиями некоторых государств. В документе говорится, что органам государственной власти, а также организациям и физическим лицам запрещено совершать сделки с подсанкционными лицами, исполнять перед ними обязательства по совершенным сделкам, осуществлять финансовые операции, если они получат от них выгоду.Помимо этого, запрещен вывоз продукции и сырья, производимых в России, если поставки предназначены для лиц из санкционного списка.Позже распоряжением от 11 мая правительство утвердило список юрлиц, против которых вводятся специальные экономические меры. В основном в него вошли бывшие «дочки» «Газпрома», в том числе Gazprom Germania и находящиеся под ее управлением бывшие активы «Газпрома»: Gazprom Marketing & Trading, Gazprom NGV Europe, Wingas, Astora, Vemex и другие.«Газпром» прекратил участие в дочерних предприятиях Gazprom Germania и в самой компании 1 апреля."
Коммерсант,26.05.22,3,биржа,Спекулянты отыгрались на «Газпроме»,"Котировки «Газпрома» 26 мая, в день заседания совета директоров компании по дивидендам, неожиданно рухнули в середине торгов на Московской бирже. В 13:41 буквально за минуту они обвалились почти на 13%, достигнув 245 руб. и фактически откатившись к значению недельной давности.Портфельный менеджер управляющей компании отметил: было похоже, что крупный инвестор «спешил выскочить из бумаги и делал это очень грубо». В моменте падение развернуло индекс Московской биржи, который снижался на 2,5%, до 2327 пунктов. Такое движение в глазах инвесторов свидетельствовало об отказе компании от выплаты дивидендов.В этом году компании, даже получив прибыль, не спешат выплачивать дивиденды. Из крупных эмитентов их одобрили, например, ГМК «Норильский никель», «Татнефть», МТС, «Интер РАО», «Трансконтейнер», НОВАТЭК. Однако многие, отмечает начальник управления торговых операций на российском фондовом рынке «Фридом Финанс» Георгий Ващенко, «отказались или еще думают».Так, на прошлой неделе правительство поручило Минфину не предусматривать выплату дивидендов за 2021 год на обыкновенные и привилегированные акции Сбербанка, чистая прибыль которого за 2021 год составила 1,25 трлн руб. Между тем пессимистичные ожидания в отношении «Газпрома» не оправдались.Участники рынка считают, что на торгах наблюдалось «что-то похожее на манипулирование либо на ошибку трейдера». Наиболее вероятно, что кто-то поддался эмоциям, «отреагировал на распространенный фейк», и это спровоцировало волну продаж, которая, впрочем, быстро закончилась, считает Георгий Ващенко.Действительно, сразу после снижения котировок в различных источниках распространился фейковый скрин якобы новости о переносе дивидендов «Газпрома» с сайта РБК, источник которого не ясен, пояснил аналитик ФГ «Финам» Сергей Кауфман. Впрочем, в Telegram-канале издания уверяют, что «такой материал никогда не мог выйти на РБК».На слабо ликвидном рынке новости-«молнии» играют определяющее значение, а можно ли это считать манипуляцией — определять регулятору, подчеркнул руководитель отдела по управлению акциями УК «Ингосстрах-Инвестиции» Александр Дорожкин. Персональный брокер «БКС Мир инвестиций» Павел Макаров не исключает срабатывания большого количества стоп-заявок (когда продаются ценные бумаги при достижении котировки определенного значения).По итогам торгов акции «Газпрома» выросли более чем на 9%, остановившись на отметке 296 руб. Индекс Московской биржи поднялся на 3,1%, до 2413 пунктов на фоне стремительного ослабления курса рубля. Объем торгов превысил 66,5 млрд руб. и оказался максимальным в мае. Более половины этого объема пришлось на акции «Газпрома», отмечает начальник отдела глобальных исследований «Открытие Инвестиции» Михаил Шульгин. По мнению ведущего аналитика ПСБ Алексея Головинова, в случае сохранения позитивных настроений на рынке в пятницу индекс может достичь отметки 2500 пунктов."
РБК,26.05.22,4,биржа,В Молдавии предложили повысить тарифы на газ из-за нестабильных цен,"Существующие тарифы на газ для населения Молдавии не позволяют покрывать покупку российского газа, из-за чего возникла необходимость повысить тарифы, заявил вице-премьер страны Андрей Спыну в эфире местного телеканала Jurnal.«Расчеты показывают, что тариф [для конечных потребителей], который мы имеем сейчас, не покрывает стоимость газа, который мы покупаем у «Газпрома», а мы прекрасно знаем, что в прошлом месяце у нас было почти $1200 [за 1 тыс. куб. м], в мае речь идет о $920. Хорошо, что к концу мая цены начали снижаться, у нас цены на газ около $900», — сказал Спыну.По его словам, в апреле еще существовала уверенность, что Молдавия сможет оплачивать поставки российского газа, но из-за событий на Украине сложилась «беспрецедентная ситуация», когда летние цены на энергоносители превысили зимние.В этой связи «Молдовагаз» попросила Национальное агентство по регулированию энергетики пересмотреть тарифы для населения: повысить их почти на 60% с 1 июня, с 14 тыс. леев (чуть больше 41 тыс. руб. по курсу ЦБ на 26 мая) за 1 тыс. куб. м до 22 тыс. леев (около 65 тыс. руб.), указывает издание Nokta.«Газпром» и «Молдовагаз» в октябре прошлого года заключили контракт на поставки газа на пятилетний срок. Российская компания отмечала, что договор подписан «на взаимовыгодных условиях». Как пишет издание Point, Спыну указывал, что в документе прописана не точная цена за 1 тыс. куб. м, а формула расчета, которая основана на биржевых ценах. Из-за этого каждый месяц цена варьируется. При этом «Газпром» попросил не обнародовать формулу, назвав ее коммерческой тайной, сказал молдавский вице-премьер.Молдавия неоднократно задерживала выплаты за поставляемый российский газ, из-за чего существовала угроза прекращения поставок. При заключении нового соглашения было оговорено проведение аудита задолженностей «Молдовагаза», отмечали в Министерстве инфраструктуры Молдавии."
Коммерсант,28.05.22,3,поставки газа,«Газпром» увеличил поставки газа в Европу,"Российский газ поступает в Европу транзитом через Украину в объеме 43,96 млн куб. м в сутки через газоизмерительную станцию (ГИС) «Суджа». Об этом сообщил официальный представитель «Газпрома» Сергей Куприянов. Накануне объем прокачки составлял 43,6 млн куб. м.«""Газпром"" осуществляет подачу российского газа для транзита через территорию Украины в объеме, подтвержденном украинской стороной, через ГИС ""Суджа"", — 43,96 млн куб. м на 28 мая. Заявка на ГИС ""Сохрановка"" отклонена»,— сказал господин Куприянов (цитата по агентству ТАСС).10 мая Украина прекратила транспортировку российского газа через газоизмерительную станцию «Сохрановка» и компрессорную станцию «Новопсков» из-за «форс-мажорных обстоятельств». Как сообщал оператор, через «Сохрановку» проходит треть поставок газа России в Европу. Пресс-секретарь президента РФ Дмитрий Песков заявил, что, несмотря на это решение, Россия продолжит выполнять контрактные обязательства по транзиту газа.Подробнее — в материале «Ъ FM» «Газ меняет направление».Еще больше новостей — в Telegram-канале «Коммерсантъ»."
Коммерсант,29.05.22,3,поставки газа,"Запасай, или потеряешь","Австрия может лишить «Газпром» газового хранилища Haidach в федеральной земле Зальцбург, если компания не приступит к его заполнению газом. Об этом канцлер Австрии Карл Нехаммер сообщил российскому президенту Владимиру Путину во время телефонного разговора 27 мая.«Вопрос газа был затронут им, что все поставки в полном объеме будут соблюдаться. Я ему указал на то, что, если ""Газпром"" не будет пользоваться хранилищем в Хайдахе, тогда ""Газпром"" потеряет хранилище и оно будет передано другим поставщикам энергии для заполнения»,— сообщил Карл Нехаммер на пресс-конференции в Вене. В интервью 12 мая глава Австрии говорил, что планов по национализации этих активов нет.Судя по данным Astora, интенсивная закачка в это ПХГ ведется с середины мая. Сейчас хранилище заполнено на 33,8%, в то время как средний показатель заполненности ПХГ во всей Европе составляет около 45,3%. В «Газпроме» дополнительных комментариев не предоставили.Россия 11 мая ввела санкции в отношении Gazprom Germania и всех ее дочерних структур, полностью запретив поставки газа в их адрес и исключив возможность заключения каких-либо сделок. Эти меры были приняты в ответ на решение властей Германии ввести внешнее управление Gazprom Germania. Соответственно, «Газпром экспорт» не может взаимодействовать с Astora.В то же время правительство РФ уже предоставило исключение на 90 дней для операций с одной из структур Gazprom Germania, Gazprom Marketing & Trading Singapore, с тем чтобы НОВАТЭК мог продавать этой компании СПГ по долгосрочному контракту.Вопрос в том, интересно ли это «Газпрому». Европа старается заполнять ПХГ ускоренными темпами, несмотря на высокие цены на газ, с тем чтобы создать буфер на случай перебоев поставок из РФ. Обозначенная цель на 1 ноября 2022 года — 80% заполнения, в последующие сезоны — 90%. Но «Газпром» с осени прошлого года не проявляет большого желания заполнять собственные мощности ПХГ в Европе, что поддерживает высокие цены на газ на европейском рынке.Традиционно компания, наоборот, стремилась хранить больше газа в Европе, чтобы иметь страховку для выполнения контрактов на случай перебоев транзита через Украину. Однако теперь отбор по долгосрочным контрактам «Газпрома» резко упал, а статус многих соглашений стал неопределенным: польская PGNiG уже разорвала контракт из-за требований российской стороны по оплате в рублях, а другие клиенты, в том числе такие крупные, как итальянская Eni, заявили о намерении пойти в арбитраж. В данной ситуации, исходя из коммерческих соображений, «Газпром» может быть больше заинтересован в поддержании высоких цен, нежели в заполнении ПХГ в Европе."
Коммерсант,30.05.22,3,поставки газа,Кому меньше всех надо,"Дания и Голландия могут стать следующими странами, в которые «Газпром» прекратит поставки природного газа. Датская энергокомпания Orsted заявила, что отказывается идти на уступки и продолжит платить за российский газ в евро, последний срок оплаты — 31 мая. «Поэтому есть риск, что ""Газпром экспорт"" прекратит поставки газа Orsted. По мнению Orsted, это будет нарушением контракта»,— заявили в компании.«Газпром» уже остановил поставки газа в Финляндию, Польшу и Болгарию, которые не согласились перейти на оплату поставок российского газа по новой схеме: покупатели должны вносить евро или доллары на счет в Газпромбанке, где банк конвертирует их рубли и переводит платежи на счет «Газпрома».Долгосрочный контракт на поставку Orsted до 2 млрд кубометров газа из РФ (до 83% от общего импорта газа в Данию в 2021 году) по «Северному потоку» действует до 2030 года.Поставки осуществлялись по газотранспортной системе Германии. Датская компания отмечает, что теперь планирует закупать эти объемы газа на рынке.Крупнейший голландский газовый трейдер GasTerra, в свою очередь, заявил, что платежи в рублях могут привести к нарушению санкций, введенных ЕС, а также «существует слишком много финансовых и операционных рисков, связанных с требуемым вариантом оплаты». В частности, по мнению компании, открытие счетов по российскому законодательству и «контроль над ними со стороны российского режима представляют слишком большой риск». «Газпром экспорт» сообщил, что в связи с решением GasTerra и отсутствием оплаты за апрель в рублях поставки прекратятся с 31 мая.Долгосрочный контракт «Газпрома» и GasTerra был заключен в сентябре 2000 года на 20 лет, затем он был продлен до 1 октября 2022 года. Как сообщили в GasTerra, прекращение поставок означает, что с настоящего момента до 1 октября компания не получит примерно 2 млрд кубометров газа. По данным «Газпром экспорта», в 2020 году трубопроводные поставки в Нидерланды составили 11,8 млрд кубометров при потреблении в 36,6 млрд кубометров.Таким образом, Голландия и Дания, вероятно, станут последними европейскими покупателями, отказавшимися от поставок со стороны «Газпрома», поскольку 1 июня завершится переходный период, определенный президентом Владимиром Путиным на изменение схемы платежей.Как отмечает Мария Белова из Vygon Consulting, потребление газа в Дании последовательно снижается с пиковых значений, достигнутых в 2003 году, параллельно с падением собственной добычи. Текущий спрос на газ в Дании находится на уровне 3 млрд кубометров, при этом страна, судя по статистике, экспортирует весь добываемый в стране газ — около 1,5 млрд кубометров. Доля газа в топливно-энергетическом балансе страны занимает 16% и последовательно сокращается, Дания намерена в четыре раза увеличить выработку энергии ВИЭ (включая биотопливо и отходы) к 2030 году. По оценке эксперта, в кратко- и среднесрочной перспективе страна сможет заместить российский газ путем сокращения своего экспорта, а также за счет увеличения закупок в Норвегии (в том числе, например, по строящемуся в Польшу и идущему транзитом через Данию газопроводу Baltic pipe) или на спотовом рынке в Германии.Решение GasTerra, по ее мнению, также можно назвать ожидаемым из-за скорого истечения долгосрочного контракта. «Нидерланды могут продолжить получать газ российского происхождения, покупая его на споте в той же Германии»,— заключает Мария Белова."
РБК,30.05.22,2,поставки газа,«Газпром» с 31 мая приостановит поставки газа в Нидерланды,"«Газпром экспорт» с 31 мая приостановит поставки газа нидерландской GasTerra в связи с неуплатой за апрель, об этом сообщил холдинг «Газпром» в Telegram.«Газпром экспорт» уведомил GasTerra о приостановке поставок газа с 31 мая 2022 года и до момента осуществления оплаты [в рублях]», — говорится в сообщении.Ранее GasTerra отказалась платить за поставки газа в рублях. В компании сочли, что открытие счетов в российском банке и «контроль над ними со стороны российского режима» представляют слишком большой риск. В GasTerra сообщили, что в ответ «Газпром» объявил о прекращении поставок. «Это означает, что с настоящего момента до 1 октября 2022 года, завершения действия контракта, покупатель не получит примерно 2 млрд куб. м газа», — говорится в сообщении. Нидерландская компания заявила, что готова к этому.Новая схема оплаты газа, которая действует с 1 апреля, предполагает, что зарубежные покупатели из списка недружественных стран (российское правительство включило в перечень все страны ЕС, США, Британию и ряд других государств) должны открыть два счета в Газпромбанке — валютный и рублевый. После поступления оплаты на первый счет в долларах или евро банк самостоятельно конвертирует средства на Московской бирже, после чего зачисляет рубли на второй счет.В середине апреля власти Нидерландов запретили компаниям страны принимать эти условия, так как они, по мнению Амстердама, нарушают санкции ЕС. Минэкономики Нидерландов сообщило, что в королевстве подготовились к полному прекращению подачи газа, удвоив свои возможности импорта СПГ (сжиженного природного газа).В тот же день, что и GasTerra, об отказе платить за газ в рублях объявил датский оператор Orsted. В Orsted сочли смену валюты нарушением контракта. Дедлайн компании по оплате истекает 31 мая, Orsted заявил о риске приостановки поставок от «Газпром экспорт», поскольку датский оператор планирует и дальше проводить оплату в евро. При этом оператор заявил, что готовился к этому сценарию и сейчас заполняются его хранилища в Дании и Германии.Ранее были остановлены поставки газа в Болгарию, Польшу и Финляндию, эти страны также отказались выполнять условия России. 27 мая еврокомиссар по энергетике Кадри Симсон сообщила, что ЕС разрабатывает «запасной план» на случай полного прекращения импорта из России.Поделитесь впечатлениями"
РБК,30.05.22,3,поставки газа,Нидерландская GasTerra отказалась платить за российский газ рублями,"Нидерландский газовый трейдер GasTerra не будет выполнять требования «Газпрома» о переходе на новую схему оплаты топлива, заявила компания.Новые условия покупки российского газа в рублях могут привести к нарушению введенных Евросоюзом санкций, к тому же «существует слишком много финансовых и операционных рисков, связанных с требуемым вариантом оплаты», считают в GasTerra.По мнению компании, открытие счетов в российском банке и «контроль над ними со стороны российского режима» представляют слишком большой риск.В GasTerra заявили, что в ответ «Газпром» объявил о прекращении поставок. «Это означает, что с настоящего момента до 1 октября 2022 года, завершения действия контракта, покупатель не получит примерно 2 млрд куб. м газа», — говорится в сообщении. Нидерландская компания заявила, что готова к этому.РБК направил запрос в «Газпром».В соответствии с новой схемой оплаты газа, которая действует с апреля, иностранные покупатели из списка недружественных стран (таковыми российское правительство считает все страны ЕС, США, Британию и ряд других государств) должны открыть два счета в Газпромбанке — валютный и рублевый. После поступления оплаты на первый счет в долларах или евро банк самостоятельно конвертирует средства на Московской бирже, после чего зачисляет рубли на второй счет.В середине апреля власти Нидерландов заявили, что не разрешают компаниям страны принять эти условия, так как они, по мнению Амстердама, нарушают санкции ЕС. В королевстве сообщили, что подготовились к полному прекращению подачи газа, удвоив свои возможности импорта СПГ.Также сегодня отказ платить за российский газ по новой схеме подтвердила датская Orsted, сообщив, что готовится к прекращению поставок из России с 31 мая.Ранее условия России отказались выполнять Болгария, Польша и Финляндия, поставки в эти страны были остановлены. 27 мая еврокомиссар по энергетике Кадри Симсон сообщила, что ЕС разрабатывает «запасной план» на случай полного прекращения импорта из России."
